vu_ort,vu_hoehe,tag,datum,uhrzeit,kat,flucht,igo,ago,t,sv,lv,anzahl_beteiligte,fg,rf,helm,mofa,kkr,krad,pkw,lkw,kom,sonstige,1,kennz_01,2,kennz_02,alkohol,typ,1_urs,2_urs,3_urs,sonst_urs,urs_02,lichtverhaeltnisse,strassenzustand,01_alter_in_jahren,02_alter_in_jahren,bemerkungen,igvp,,,,,
Hölkenbusch,"Höhe ""Hölken Geflügel""",di,03.01.2017,07:35,5,X,,,,,,2,,,,,,,1,,,1,92,,21,ms,,681,,11,72,,,,1/2,F,,,702000-000482-17/3,,,,,
Loddenheide,3,di,03.01.2017,15:00,5,X,,,,,,2,,,,,,,1,,,1,92,,21,ms,,703,,49,,,,,,F,,,702000-000715-17/9,,,,,
Loerstraße,Parkhaus,do,05.01.2017,12:17,5,X,,,,,,2,,,,,,,1,,,1,92,,21,e,,703,,49,,,,,,F,,,702000-001064-17/4,,,,,
Gievenbecker Reihe,150m v. Roxeler Straße,do,05.01.2017,12:41,3,,,,,,1,1,,1,n,,,,,,,,71,,,,,141,,49,72,,,,2,51,,,702000-001002-17/0,,,,,
Bismarckallee,Richard-Schirrmann-Weg,di,03.01.2017,08:00,5,X,,,,,,2,,,,,,,1,,,1,92,,21,ms,,799,,49,,,,,,F,,,702000-000912-17/6,,,,,
Weseler Straße,675,mi,04.01.2017,21:00,5,X,,,,,,2,,,,,,,1,,,1,92,,21,m,,703,,49,,,,,,F,,,702000-001013-17/0,,,,,
Kappenberger Damm,67,mo,02.01.2017,17:30,5,X,,,,,,2,,,,,,,1,,,1,92,,21,ms,,799,,49,,,,2/3,1,F,,,702000-000464-17/9,,,,,
Corrensstraße,25,fr,06.01.2017,14:15,5,,z,,,,,2,,,,,,,2,,,,21,os,21,me,,703,,36,,,,,,20,,,,,,,,
Hammer Straße,Geiststraße,so,08.01.2017,13:20,5,,a,,,,,2,,,,,,,2,,,,21,mk,21,ms,,301,,31,,,,,1,32,,,,,,,,
Soester Straße,37,so,08.01.2017,12:30,5,,m,,,,,2,,,,,,,2,,,,21,coe,21,ms,,501,,14,,,,,1,31,,,,,,,,
Erbdrostenweg,102,do,05.01.2017,10:55,5,,z,,,,,2,,,,,,,1,1,,,21,ms,59,coe,,681,,14,,,,,,34,,,,,,,,
Grenkuhlenweg,41,so,08.01.2017,12:45,5,,z,,,,,1,,,,,,,1,,,,21,ms,,,,141,,13,49,,,,1,34,,Stadt,,,,,,
Albert-Schweitzer-Straße,Roxeler Straße,so,08.01.2017,15:40,5,,a,,,,,2,,,,,,,2,,,,21,ms,21,du,,302,,28,,,,,1,36,,,,,,,,
Hiltruper Straße,23,fr,06.01.2017,15:15,5,,z,,,,,2,,,,,,,2,,,,21,ms,21,ms,,703,,14,,,,,,20,,,,,,,,
Mariendorfer Straße,200m h. Einm. Schiffahrter Damm,so,08.01.2017,00:15,5,,,z,,,,1,,,,,,,1,,,,21,coe,,,,141,,13,72,,,2,2,20,,,,,,,,
Meesenstiege,Westfalenstraße,so,08.01.2017,18:30,5,,a,,,,,2,,,,,,,2,,,,21,coe,21,ms,,621,,44,,,,2/3,1,73,,,702000-001409-17/1,,,,,
Mecklenbecker Straße,Bischopinkstraße,mo,09.01.2017,07:50,3,,,,,,1,1,,,,,1,,,,,,02,,,,,799,,49,,,,2/3,1,22,,,702000-001479-17/8,,,,,
Weseler Straße,27,mi,04.01.2017,12:40,5,,z,,,,,2,,,,,,,1,,,1,21,ms,59,ms,,711,,36,,,,,1,22,,,,,,,,
Schiffahrter Damm,An der Alten Ziegelei,mi,04.01.2017,15:30,5,,z,,,,,3,,,,,,,1,2,,,40,ms,40,ms,,611,,14,,,,,,47,,,,,,,,
Austermannstraße,Horstmarer Landweg,mi,04.01.2017,16:15,5,,z,,,,,2,,,,,,,2,,,,21,un,21,st,,231,,14,,,,,,25,,,,,,,,
Robert-Bosch-Straße,2,do,05.01.2017,15:45,5,,m,,,,,2,,,,,,,2,,,,21,coe,21,ms,,703,,36,,,,,,24,,,,,,,,
Thierstraße,100m v. KV Wiedaustraße,do,05.01.2017,14:30,5,,,o,,,,1,,,,,,,1,,,,21,ms,,,,101,,13,72,,,,2,25,,,,,,,,
Piusallee,Niedersachsenring,fr,06.01.2017,18:30,5,,m,,,,,1,,,,,,,1,,,,21,ms,,,,122,,49,,,,2/3,,33,,Stadt,,,,,,
Eckenerstraße,19,fr,06.01.2017,10:50,5,,o,,,,,2,,,,,,,1,1,,,44,bn,21,ms,,501,,14,,,,,2,23,,,,,,,,
Dahlweg,105,fr,06.01.2017,08:44,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,322,,37,,,,,2,28,,,,,,,,
Friedrich-Ebert-Straße,142,fr,06.01.2017,15:15,5,,m,,,,,2,,,,,,,2,,,,21,bt,21,coe,,703,,36,,,,,,35,,,,,,,,
