vu_ort,vu_hoehe,tag,datum,uhrzeit,kat,flucht,igo,ago,t,sv,lv,anzahl_beteiligte,fg,rf,helm,mofa,kkr,krad,pkw,lkw,kom,sonstige,1,kennz_01,2,kennz_02,alkohol,typ,1_urs,2_urs,3_urs,sonst_urs,urs_02,lichtverhaeltnisse,strassenzustand,01_alter_in_jahren,02_alter_in_jahren,bemerkungen,igvp,,,,,
Roxeler Straße,416,di,19.12.2017,20:15,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,703,,27,,,,,,70,,,,,,,,
Orleans-Ring,Wilhelmstraße,di,19.12.2017,15:45,5,,o,,,,,1,,,,,,,1,,,,21,wo,,,,101,,49,,,,1,1,21,,Stadt,,,,,,
Gescherweg,131,di,19.12.2017,21:05,5,,o,,,,,2,,1,n,,,,1,,,,21,ms,71,,,306,,14,,,,2,1,29,,,,,,,,
Schiffahrter Damm,61,di,19.12.2017,07:40,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,x,,623,,14,,,,2,1,65,,,,,,,,
Weseler Straße,305,di,19.12.2017,11:45,5,,m,,,,,2,,,,,,,2,,,,21,lh,21,do,,623,,14,,,,,,24,,,,,,,,
Schreiberstraße,ggü.3,di,19.12.2017,07:55,5,,m,,,,,2,,,,,,,2,,,,21,st,21,ms,,711,,36,37,,,,,33,,,,,,,,
Steinfurter Straße,lazarettstraße,di,19.12.2017,11:10,5,,m,,,,,2,,,,,,,1,1,,,21,st,40,st,,601,,15,,,,,1,27,,,,,,,,
Dahlweg,30,di,19.12.2017,19:10,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,501,,14,,,,2/3,1,30,,,,,,,,
Siemensstraße,56,di,19.12.2017,09:30,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,lh,,501,,14,,,,,1,53,,,,,,,,
Bergiusstraße,Ausfahrt Edeka,di,19.12.2017,16:40,5,,m,,,,,2,,,,,,,2,,,,21,el,21,ms,,302,,28,,,,2,1,64,,,,,,,,
Sternstraße,38,di,19.12.2017,13:17,5,,m,,,,,2,,,,,,,1,1,,,44,el,21,st,,501,,14,,,,,1,55,,,,,,,,
Osttor,58,di,19.12.2017,14:55,5,,m,,,,,2,,,,,,,2,,,,21,be,21,ms,,601,,14,,,,,1,51,,,,,,,,
Sonnenstraße,30,di,19.12.2017,15:30,5,,o,,,,,2,,,,,,,2,,,,21,ms,21,ms,,501,,14,,,,,1,71,,,,,,,,
Wolbecker Straße,1,di,19.12.2017,17:08,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,711,,36,,,,2,1,21,,,,,,,,
Augustastraße,2,di,19.12.2017,17:20,5,,m,,,,,2,,,,,,,2,,,,21,coe,21,bi,,501,,14,,,,2/3,1,27,,,,,,,,
Thomas-Mann-Weg,Theodor-Storm-Straße,di,19.12.2017,12:15,5,,o,,,,,2,,,,,,,1,1,,,51,coe,21,coe,,502,,14,,,,,1,43,,,,,,,,
Ludgeriplatz,Moltkestraße,di,19.12.2017,16:10,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,en,,231,,14,,,,,,54,,,,,,,,
Marktallee,38,fr,15.12.2017,12:30,5,,m,,,,,2,,,,,,,1,1,,,21,st,44,gt,,703,,36,,,,,1,62,,,,,,,,
Loddenheide,5,fr,15.12.2017,13:30,5,,m,,,,,2,,,,,,,1,1,,,21,ms,40,d,,703,,36,,,,,1,80,,,,,,,,
An den Mühlen,23,sa,16.12.2017,19:00,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,vec,,501,,14,,,,2,,32,,,,,,,,
Norbertstraße,14,so,17.12.2017,12:10,5,,o,,,,,2,,,,,,,2,,,,21,do,21,waf,,711,,36,,,,,1,20,,,,,,,,
Ossenkampstiege,89,fr,15.12.2017,19:50,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,coe,,501,,14,,,,2/3,1,57,,,,,,,,
Sentruper Höhe,12,do,21.12.2017,17:55,5,,m,,,,,2,,,,,,,2,,,,21,el,21,coe,,711,,36,,,,2/3,1,37,,,,,,,,
Nottulner Landweg,Pienersallee,mo,18.12.2017,13:10,5,,m,,,,,2,,,,,,,2,,,,21,st,21,ms,,621,,14,,,,,1,41,,,,,,,,
Robert-Bosch-Straße,2,do,21.12.2017,12:21,5,,o,,,,,2,,,,,,,1,1,,,51,du,21,ms,,703,,36,,,,,1,41,,,,,,,,
Westfalenstraße,197,di,19.12.2017,21:15,5,,m,,,,,2,,,,,,,2,,,,21,noh,21,waf,,703,,36,,,,2,1,25,,,,,,,,
Steinfurter Straße,Wilkinghege,mi,20.12.2017,06:50,5,,m,,,,,2,,,,,,,2,,,,21,coe,21,te,,631,,26,,,,2,1,56,,,,,,,,
kardinal-von-Galen-Ring,Waldeyerstraße,mi,20.12.2017,12:05,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ler,,601,,14,,,,,1,40,,,,,,,,
Steinfurter Straße,95,sa,16.12.2017,20:50,5,,m,,,,,2,,,,,,,2,,,,21,ro,21,ms,,702,,14,,,,1,1,25,,,,,,,,
Gartenstraße,Kolpingstraße,mi,20.12.2017,16:44,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,te,,501,,14,,,,1,1,46,,,,,,,,
Friesenring,72,mi,20.12.2017,14:30,5,,m,,,,,3,,,,,,,3,,,,21,ms,21,ms,,623,,14,,,,,1,51,,,,,,,,
Schmeddingstraße,61,mi,20.12.2017,18:04,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,te,,501,,14,,,,2,1,53,,,,,,,,
Heisenbergstraße,11,mi,20.12.2017,17:00,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,711,,36,,,,1/3,1,24,,,,,,,,
Von-Vincke-Straße,9,di,19.12.2017,09:15,5,,o,,,,,2,,,,,,,2,,,,21,waf,21,waf,,641,,26,,,,,,64,,,,,,,,
Hohenzollernring,72,mi,20.12.2017,09:19,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,coe,,703,,36,,,,,1,65,,,,,,,,
Hafenstraße,23,mi,20.12.2017,12:10,5,,o,,,,,2,,,,,,,2,,,,21,be,21,k,,601,,14,,,,,1,31,,,,,,,,
Hohenzollernring,72,mi,20.12.2017,12:50,5,,o,,,,,2,,,,,,,2,,,,21,bor,21,hh,,601,,14,,,,,1,31,,,,,,,,
Dingbängerweg,Parkplatz Lidl,mi,20.12.2017,11:30,5,,o,,,,,2,,,,,,,2,,,,21,ham,21,lb,,703,,36,,,,,1,72,,,,,,,,
Heroldstraße,31,mi,20.12.2017,11:50,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,coe,,601,,14,,,,,1,31,,,,,,,,
Kinderhauser Straße,187,mi,20.12.2017,11:24,5,,o,,,,,2,,,,,,,1,1,,,40,st,21,noh,,711,,36,,,,,1,33,,,,,,,,
Bernhard-Ernst-Straße,17,mi,20.12.2017,10:30,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,702,,36,,,,,1,55,,,,,,,,
Hammer Straße,179,mi,20.12.2017,11:35,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,b,,623,,14,,,,,1,50,,,,,,,,
Hoher Heckenweg,Königsberger Straße,fr,15.12.2017,13:05,5,,o,,,,,2,,,,,,,2,,,,21,ms,21,ms,,621,,14,,,,,,53,,,,,,,,
Münsterstraße,Parkplatz Aldi,fr,15.12.2017,14:30,5,,o,,,,,2,,,,,,,1,,1,,21,ms,33,waf,,232,,34,,,,,1,55,,,,,,,,
Osttor,Ringstraße,fr,15.12.2017,12:25,5,,o,,,,,2,,,,,,,1,1,,,40,ms,21,ms,,623,,14,,,,,1,36,,,,,,,,
Am Haselhof,139,mo,18.12.2017,08:35,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,711,,36,,,,1,1,36,,,,,,,,
Marientalstraße,4,sa,16.12.2017,10:20,5,,o,,,,,2,,,,,,,2,,,,21,ms,21,ms,,501,,14,,,,,1,67,,,,,,,,
Bonhoefferstraße,Von-Stauffenberg-Straße,sa,23.12.2017,19:00,5,,o,,,,,2,,,,,,,2,,,,21,ms,21,ms,,711,,36,,,,2,,40,,,,,,,,
Albersloher Weg,Nieberdingstraße,sa,16.12.2017,12:25,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,waf,,623,,14,,,,,,25,,,,,,,,
Kaiser-Wilhelm-Ring,1,fr,15.12.2017,09:15,5,,o,,,,,1,,,,,,,1,,,,21,ms,,,,703,,36,,,,,1,38,,Stadt,,,,,,
Friedrich-Ebert-Straße,113,fr,15.12.2017,13:30,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,303,,37,,,,,1,25,,,,,,,,
Albersloher Weg,Keltenweg,sa,16.12.2017,15:30,5,,m,,,,,2,,,,,,,2,,,,21,waf,21,waf,,623,,14,,,,,,57,,,,,,,,
Roxeler Straße,571,sa,16.12.2017,12:10,5,,o,,,,,2,,,,,,,2,,,,21,oh,21,ms,,703,,36,,,,,,72,,,,,,,,
Moltkestraße,Hermannstraße,sa,16.12.2017,09:45,5,,m,,,,,2,,,,,,,1,,1,,21,ms,31,kr,,641,,26,,,,,,52,,,,,,,,
Marktallee,20,do,14.12.2017,21:25,5,,o,,,,,1,,,,,,,1,,,,21,m,,,,703,,36,,,,,,43,,,,,,,,
Wolbecker Straße,Mondstraße,so,17.12.2017,05:50,5,,m,,,,,2,,,,,,,2,,,,21,waf,21,waf,,623,,14,,,,2/3,1,24,,,,,,,,
Robert-Bosch-Straße,2,do,21.12.2017,12:21,5,,z,,,,,2,,,,,,,1,1,,,51,du,21,ms,,703,,36,,,,,1,41,,,,,,,,
Dingbängerweg,Im Derdel,do,21.12.2017,07:10,5,,a,,,,,2,,,,,,,1,1,,,44,ms,21,ms,,322,,28,,,,2,1,52,,,,,,,,
Höltenweg,An den Loddenbüschen,do,21.12.2017,07:45,5,,a,,,,,2,,,,,,,2,,,,21,ms,21,st,,302,,28,,,,1,1,62,,,,,,,,
Düesbergweg,32,do,21.12.2017,09:40,5,,z,,,,,2,,,,,,,1,,,1,22,d,21,coe,,711,,36,,,,,1,22,,,,,,,,
Hülshoffstraße,B 54,do,21.12.2017,08:30,5,,,a,,,,2,,,,,,,2,,,,21,el,21,ms,,302,,28,,,,,1,57,,,,,,,,
Marktallee,53,do,28.12.2017,12:30,5,,z,,,,,2,,,,,,,2,,,,21,ms,21,coe,,703,,36,,,,,5,55,,,,,,,,
Kappenberger Damm,Geringhoffstraße,do,28.12.2017,14:20,5,,z,,,,,2,,,,,,,2,,,,21,ms,21,b,,623,,14,,,,,,56,,,,,,,,
Weseler Straße,60,do,28.12.2017,15:15,5,,z,,,,,2,,,,,,,1,1,,,40,bn,21,bor,,703,,36,,,,,,39,,,,,,,,
hansaring,10,mi,27.12.2017,14:56,5,,z,,,,,2,,,,,,,1,,1,,33,waf,21,waf,,501,,14,,,,,1,27,,,,,,,,
Willy-Brandt-Weg,Gustav-Stresemann-Weg,do,28.12.2017,14:55,5,,z,,,,,2,,,,,,,1,1,,,44,waf,21,waf,,621,,14,,,,,,48,,,,,,,,
Weseler Straße,Scharnhorststraße,fr,22.12.2017,18:00,5,,z,,,,,2,,,,,,,2,,,,21,ms,21,waf,,601,,14,,,,,,31,,,,,,,,
Dorffeldstraße,Kösters Kämpken,fr,22.12.2017,18:12,5,,a,,,,,2,,,,,,,2,,,,21,ms,21,ms,,321,,28,,,,2/3,1,20,,,,,,,,
Niedersachsenring,110,do,21.12.2017,10:10,5,,z,,,,,2,,1,n,,,,1,,,,21,ms,71,,,502,,45,,,,,,33,,,,,,,,
Wolbecker Straße,B 51,fr,22.12.2017,14:50,5,,z,,,,,2,,,,,,,2,,,,21,waf,21,ms,,601,,14,,,,,,24,,,,,,,,
Ritterstraße,38,fr,22.12.2017,16:00,5,,z,,,,,2,,,,,,,2,,,,21,re,21,lh,,703,,14,,,,1,,75,,,,,,,,
Schorlemer Straße,Herwarthstraße,fr,22.12.2017,18:40,5,,z,,,,,2,,,,,,,1,,1,,33,st,21,ham,,252,,14,,,,2,,51,,,,,,,,
Westhoffstraße,Grotemeyerstraße,fr,22.12.2017,15:30,5,,a,,,,,2,,,,,,,2,,,,21,fr,21,ms,,302,,28,,,,,,51,,,,,,,,
Wolbecker Straße,Mondstraße,so,24.12.2017,19:50,5,,a,,,,,2,,,,,,,2,,,,21,waf,21,ms,,303,,28,,,,2/3,1,26,,,,,,,,
Friedrich-Ebert-Straße,Leostraße,fr,22.12.2017,13:05,5,,z,,,,,2,,,,,,,1,,1,,31,ms,21,waf,,501,,14,,,,,,53,,,,,,,,
Grevener Straße,117,mi,27.12.2017,08:20,5,,z,,,,,2,,,,,,,1,1,,,40,bn,21,re,,501,,14,,,,1,,41,,,,,,,,
Steinfurter Straße,112,do,21.12.2017,12:45,5,,m,,,,,2,,,,,,,2,,,,21,mk,21,coe,,631,,26,,,,,1,77,,,,,,,,
Burgstraße,3,sa,09.12.2017,17:30,5,,m,,,,,2,,,,,,,2,,,,21,waf,21,ms,,711,,36,,,,,1,45,,,,,,,,
Raesfeldstraße,20,di,26.12.2017,14:40,5,,m,,,,,2,,,,,,,2,,,,21,hro,21,ms,,711,,36,,,,,,35,,,,,,,,
Sebastiankirchweg,Augustastraße,fr,22.12.2017,08:00,5,,m,,,,,2,,,,,,,,1,,1,22,st,40,ob,,501,,14,,,,1,1,77,,,,,,,,
Lützowstraße,Höhe Bushaltestelle Kaserne,so,10.12.2017,07:08,5,,,m,,,,1,,,,,,,1,,,,21,bor,,,,122,,13,72,,,2,2,28,,,,,,,,
Schlossplatz,Parkplatz,fr,22.12.2017,00:30,5,,m,,,,,2,,,,,,,2,,,,21,do,21,NL,,703,,49,,,,2,1,30,,,,,,,,
Düesbergweg,99,do,21.12.2017,13:15,5,,o,,,,,1,,,,,,,,1,,,40,bn,,,,799,,49,,,,,,31,,,,,,,,
Achtermannstraße,Parkplatz Hotel Kaiserhof,do,21.12.2017,09:00,5,,o,,,,,2,,,,,,,2,,,,21,su,21,en,,703,,14,,,,,,68,,,,,,,,
hafenstraße,64,do,21.12.2017,13:30,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,601,,14,,,,,1,52,,,,,,,,
Grevener Straße,8a,fr,01.12.2017,18:30,5,,o,,,,,2,,,,,,,2,,,,21,waf,21,coe,,501,,14,,,,2,,23,,,,,,,,
Sophienstraße,Wolbecker Straße,mi,20.12.2017,11:40,5,,m,,,,,2,,,,,,,1,1,,,40,wi,21,ms,,711,,36,,,,,1,70,,,,,,,,
Eisenbahnstraße,k.v. Bahnhof,do,21.12.2017,07:35,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,631,,26,,,,1,1,60,,,,,,,,
Steinfurter Straße,AS Nienberge,do,21.12.2017,09:45,5,,m,,,,,2,,,,,,,2,,,,21,st,21,st,,623,,14,,,,,1,29,,,,,,,,
Von-der-Tinnen-Straße,Höhe Kasernenzufahrt,do,21.12.2017,07:15,5,,m,,,,,2,,,,,,,2,,,,21,lh,21,ms,,711,,36,,,,2,1,19,,,,,,,,
Meckmannweg,Rote Erde,do,21.12.2017,08:15,5,,m,,,,,1,,,,,,,,,1,,33,st,,,,711,,36,,,,1,1,56,,Stadt,,,,,,
Albersloher Weg,198,do,28.12.2017,15:45,5,,m,,,,,2,,,,,,,2,,,,21,m,21,eun,,703,,36,,,,,,22,,,,,,,,
Gropiusstraße,11,mi,27.12.2017,14:25,5,,m,,,,,2,,,,,,,2,,,,21,PL,21,un,,711,,36,,,,,1,30,,,,,,,,
Am Steintor,Tiergarten,mi,27.12.2017,19:20,5,,,o,,,,1,,,,,,,1,,,,21,be,,,,751,,0,,86,,2,,20,,,,,,,,
Holtmannsweg,1,do,28.12.2017,11:50,5,,o,,,,,2,,,,,,,2,,,,21,ms,21,ms,,601,,14,,,,,,57,,,,,,,,
Aegidiimarkt,1,do,28.12.2017,17:16,5,,m,,,,,2,,,,,,,2,,,,21,me,21,re,,703,,36,,,,2,,21,,,,,,,,
Emdener Straße,25,do,28.12.2017,15:25,5,,m,,,,,2,,,,,,,2,,,,21,st,21,waf,,711,,36,,,,,,28,,,,,,,,
Bahnhofstraße,2,do,28.12.2017,11:30,5,,m,,,,,2,,,,,,,2,,,,21,coe,21,ms,,631,,26,,,,,,19,,,,,,,,
Warendorfer Straße,71,do,28.12.2017,10:15,5,,m,,,,,2,,,,,,,1,1,,,44,d,21,I,,711,,36,,,,,,56,,,,,,,,
Schlossplatz,ggü. Schule,do,28.12.2017,11:25,5,,m,,,,,2,,,,,,,1,,,1,21,st,59,ms,,641,,26,,,,,,22,,,,,,,,
Junkerstraße,Graelstraße,fr,22.12.2017,11:15,5,,o,,,,,2,,,,,,,2,,,,21,be,21,vec,,501,,14,,,,,,33,,,,,,,,
Hafenstraße,Friedrich-Ebert-Straße,fr,22.12.2017,19:40,5,,m,,,,,1,,,,,,,,,1,,33,gt,,,,799,,14,,,,,,39,,Stadt,,,,,,
Hammer Straße,169,fr,22.12.2017,09:40,5,,o,,,,,2,,,,,,,2,,,,21,ms,21,waf,,601,,14,,,,,,48,,,,,,,,
Anton-Bruchhausen-Straße,1,fr,22.12.2017,10:20,5,,o,,,,,2,,,,,,,2,,,,21,ms,21,ms,,501,,14,,,,,1,69,,,,,,,,
Scheibenstraße,86,fr,22.12.2017,14:00,5,,m,,,,,2,,,,,,,2,,,,21,coe,21,ms,,711,,36,37,,,,,20,,,,,,,,
Friedrich-Ebert-Straße,110,fr,22.12.2017,12:10,5,,m,,,,,2,,1,n,,,,1,,,,21,ms,71,,,711,,36,,,,,1,56,,,,,,,,
Lippstädter Straße,Industrieweg,fr,22.12.2017,17:38,5,,o,,,,,2,,,,,,,2,,,,21,k,21,ms,,651,,14,,,,2,,40,,,,,,,,
Sprakeler Straße,Coermühle,fr,22.12.2017,13:15,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,621,,14,,,,,,73,,,,,,,,
Roxeler Straße,Dingbängerweg,fr,22.12.2017,11:35,5,,m,,,,,2,,,,,,,2,,,,21,ak,21,ms,,623,,14,,,,,1,35,,,,,,,,
Roxeler Straße,416,sa,23.12.2017,17:40,5,,o,,,,,2,,,,,,,2,,,,21,ms,21,ms,,711,,36,,,,,1,33,,,,,,,,
Rudolf-Diesel-Straße,65a,sa,23.12.2017,17:15,5,,o,,,,,2,,,,,,,2,,,,21,waf,21,bf,,703,,44,,,,2,,29,,,,,,,,
Warendorfer Straße,16,fr,22.12.2017,13:50,5,,o,,,,,2,,,,,,,2,,,,21,ms,21,ms,,601,,14,,,,,,68,,,,,,,,
hansaring,Albersloher Weg,fr,22.12.2017,17:10,5,,o,,,,,2,,,,,,,2,,,,21,ks,21,ms,,231,,14,,,,2/3,,32,,,,,,,,
Steinfurter Straße,Westfalentankstelle,fr,22.12.2017,19:45,5,,o,,,,,2,,,,,,,2,,,,21,waf,21,ms,,703,,14,,,,1,,26,,,,,,,,
Mariendorfer Straße,300m v. Bahngleis,fr,22.12.2017,13:15,5,,o,,,,,1,,,,,,,1,,,,21,bn,,,,141,,14,,,,,1,27,,,,,,,,
Hertelstraße,6,fr,22.12.2017,12:45,5,,o,,,,,2,,,,,,,2,,,,21,bn,21,ms,,502,,14,,,,,1,41,,,,,,,,
Handorfer Straße,21,fr,22.12.2017,14:30,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,703,,14,,,,,,76,,,,,,,,
Am Stadtgraben,46,sa,23.12.2017,11:45,5,,m,,,,,2,,,,,,,2,,,,21,un,21,ms,,631,,26,,,,,,56,,,,,,,,
Albersloher Weg,B 51,di,26.12.2017,17:40,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,coe,,601,,14,,,,2,,42,,,,,,,,
Aegidiimarkt,1,sa,23.12.2017,15:00,5,,m,,,,,2,,,,,,,2,,,,21,coe,21,ms,,703,,36,,,,2,,49,,,,,,,,
Finkenstraße,15,fr,22.12.2017,15:15,5,,o,,,,,2,,,,,,,2,,,,21,ms,21,ms,,501,,14,,,,,,46,,,,,,,,
Klosterstraße,61,fr,22.12.2017,12:30,5,,o,,,,,2,,,,,,,2,,,,21,ms,21,ms,,711,,36,,,,,,49,,,,,,,,
Hörsterstraße,Parkplatz Bült,fr,22.12.2017,11:30,5,,m,,,,,2,,,,,,,1,,1,,21,waf,33,st,,711,,36,37,,,,,23,,,,,,,,
Schlaunstraße,2,sa,23.12.2017,13:33,5,,o,,,,,2,,,,,,,2,,,,21,ms,21,ms,,711,,36,,,,,,38,,,,,,,,
Robert-Koch-Straße,44,sa,23.12.2017,23:50,5,,o,,,,,2,,,,,,,2,,,,21,re,21,waf,,703,,36,,,,2,,29,,,,,,,,
Bremer Platz,Parkhaus,sa,23.12.2017,23:55,5,,o,,,,,1,,,,,,,1,,,,21,be,,,,799,,49,,,,2,,26,,DB AG,,,,,,
Aegidiistraße,1,sa,23.12.2017,17:52,5,,o,,,,,3,,1,n,,,,2,,,,21,ms,71,,,501,,44,,,,2,,27,,,,,,,,
gartenstraße,Lublinring,sa,23.12.2017,15:34,5,,m,,,,,2,,,,,,,1,1,,,21,coe,44,st,,623,,14,,,,1,,22,,,,,,,,
Neißestraße,13,fr,22.12.2017,05:05,5,,o,,,,,2,,1,n,,,,1,,,,71,,21,ms,,599,,49,,,,,,36,,,,,,,,
Albert-Schweitzer-Straße,Parkhaus UKM,di,05.12.2017,09:05,5,,m,,,,,2,,,,,,,2,,,,21,bf,21,ham,,703,,36,,,,,1,28,,,,,,,,
Oberort,Dülmener Straße,sa,23.12.2017,16:45,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,623,,14,,,,2/3,,41,,,,,,,,
Weseler Straße,Kerkheideweg,sa,23.12.2017,16:00,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,601,,14,,,,1/3,,30,,,,,,,,
Hammer Straße,179,fr,22.12.2017,16:00,5,,o,,,,,2,,,,,,,2,,,,21,ms,21,ms,,601,,14,,,,,1,34,,,,,,,,
Am Tinnenbusch,26,mo,25.12.2017,19:30,5,,o,,,,,2,,,,,,,2,,,,21,ms,21,ms,,502,,14,,,,1/3,,51,,,,,,,,
Hülshoffstraße,B 54,mi,27.12.2017,19:00,5,,m,,,,,2,,,,,,,2,,,,21,un,21,st,,621,,14,,,,2,,48,,,,,,,,
Mergelberg,226,mi,27.12.2017,18:03,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,572,,36,37,,,2,,51,,,,,,,,
Hessenweg,zw. Coerheide u. Coermühle,mi,27.12.2017,20:35,5,,,o,,,,1,,,,,,,1,,,,21,ms,,,,751,,0,,86,,2,,26,,,,,,,,
Bült,5,mi,27.12.2017,10:55,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,703,,36,,,,,1,30,,,,,,,,
Westfalenstraße,100m v. Merkureck,mi,27.12.2017,13:25,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,623,,14,,,,,1,37,,,,,,,,
Von-Steuben-Straße,19,do,28.12.2017,00:00,5,,m,,,,,2,,,,,,,2,,,,21,be,21,ms,,501,,45,,,,2/3,,21,,,,,,,,
Engelstraße,herwarthstraße,mi,27.12.2017,20:20,5,,o,,,,,2,,,,,,,2,,,,21,st,21,ms,,623,,14,,,,2,,29,,,,,,,,
Friedrich-Ebert-Straße,142,mi,27.12.2017,13:00,5,,o,,,,,2,,,,,,,2,,,,21,m,21,ms,,703,,14,,,,,1,52,,,,,,,,
Roxeler Straße,Albert-Schweitzer-Straße,mi,27.12.2017,13:20,5,,o,,,,,2,,,,,,,2,,,,21,ms,21,ms,,623,,14,,,,,1,18,,,,,,,,
Hülshoffstraße,Roxel -> Nienberge,mi,27.12.2017,17:40,5,,,o,,,,1,,,,,,,1,,,,21,st,,,,751,,0,,86,,2,,64,,,,,,,,
Hohenzollernring,Mauritzsteinpfad,sa,23.12.2017,11:55,5,,o,,,,,2,,,,,,,1,1,,,40,ms,21,st,,501,,14,,,,,,49,,,,,,,,
Aegidiistraße,42,fr,22.12.2017,21:10,5,,o,,,,,2,,,,,,,2,,,,21,do,21,coe,,501,,14,,,,2,,23,,,,,,,,
Wasserstraße,Parkplatz,do,28.12.2017,12:30,5,,o,,,,,2,,,,,,,2,,,,21,ms,21,ge,,703,,36,,,,,1,63,,,,,,,,
Raesfeldstraße,31,mi,25.07.2017,16:00,5,X,,,,,,2,,,,,,,1,,,1,92,,21,f,,701,,49,,,,,,F,,,702000-071057-17/8,,,,,
Nordstraße,1,mi,27.12.2017,16:00,5,X,,,,,,2,,,,,,,1,,,1,92,,21,bor,,701,,49,,,,,,F,,,702000-071093-17/6,,,,,
Kaldenhofer Weg,107,sa,18.11.2017,18:50,5,X,,,,,,2,,,,,,,2,,,,21,,21,ms,,681,,49,,,,2,,F,,,702000-063318-17/1,,,,,
Kolde-Ring,Von-Witzleben-Straße,fr,01.12.2017,15:40,5,X,,,,,,2,,,,,,,1,1,,,40,ms,21,ms,,651,,49,,,,,1,55,,,702000-066100-17/3,,,,,
Am Burloh,Idenbrockplatz,di,21.11.2017,14:15,3,,,,,,1,2,1,,,,,,1,,,,21,ms,81,,,451,,28,,,,,1,23,28,,702000-063899-17/8,,,,,
Dieckstraße,79,do,14.12.2017,14:36,5,X,,,,,,2,,,,,,,2,,,,21,ms,21,h,,703,,49,,,,,1,F,,,702000-068633-17/9,,,,,
Glasuritstraße,2,di,21.11.2017,11:00,5,X,,,,,,2,,,,,,,2,,,,21,ms,21,ms,,703,,49,,,,,1,86,,,702000-063967-17/9,,,,,
Hafenweg,30,so,19.11.2017,04:12,6,,,,,,,2,,,,,,,2,,,,21,ms,21,ms,,711,01,36,,,,2/3,,27,48,0.79 °/oo,702000-063352-17/1,,,,,
Hammer Straße,18,mo,18.12.2017,17:25,5,X,,,,,,2,,,,,,,1,,1,,33,ms,21,ms,,799,,49,,,,1/3,1,58,,,702000-069316-17/1,,,,,
Eckenerstraße,11,so,31.12.2017,20:00,5,X,,,,,,2,,,,,,,1,,,1,92,,21,ms,,501,,49,,,,,,F,,,702000-000070-18/3,,,,,
Besselweg,38,fr,15.12.2017,23:40,6,,,,,,,2,,1,n,,,,1,,,,71,,21,ms,,799,01,49,,,,2/3,,19,29,1.34 °/oo,702000-068907-17/8,,,,,
Wienburgstraße,9,di,19.12.2017,20:00,5,X,,,,,,2,,,,,,,1,,,1,92,,21,gl,,701,,49,,,,2,,F,,,709000-064108-17/2,,,,,
Scharnhorststraße,Offenbergstraße,fr,22.12.2017,12:32,5,,a,,,,,2,,,,,,,2,,,,21,ms,21,ms,,202,,49,,,,,1,27,,,702000-070314-17/0,,,,,
Dahlweg,16,mi,20.12.2017,11:00,5,X,,,,,,2,,,,,,,1,,,1,92,,21,waf,,501,,49,,,,,,F,,,702000-071329-17/9,,,,,
Westhoffstraße,Grotemeyerstraße,do,07.12.2017,19:50,2,,,,,1,,2,1,,,,,,1,,,,21,ms,81,,,221,,0,,81,,2/3,1,53,51,,702000-067318-17/3,,,,,
Münzstraße,Buddenstraße,mi,06.12.2017,07:25,2,,,,,1,,1,,1,n,,,,,,,,71,,,,,149,01,49,,,,2/3,,44,,1.28 °/oo,702000-066846-17/5,,,,,
Düesbergweg,16,fr,24.11.2017,13:55,5,X,,,,,,2,,,,,,,2,,,,21,ms,21,ms,,501,,49,,,,,1,47,,,702000-064686-17/9,,,,,
Albersloher Weg,Am Hawerkamp,so,26.11.2017,02:00,3,X,,,,,1,2,1,,,,,,1,,,,21,ms,81,,,222,,40,,,,2/3,1,65,28,,702000-064864-17/3,,,,,
Angelmodder Weg,Gremmendorfer Weg,di,12.12.2017,09:40,3,,,,,,1,2,,1,j,,,,1,,,,21,ms,71,,,341,,28,,,,,1,75,60,,702000-068108-17/1,,,,,
