datum,uhrzeit,strassenschluessel,strassennummer,vu_ort,vu_hoehe,anzahl_beteiligte,t,sv,lv,ortslage,lsa_in_betrieb,fgue,kreisverkehr,zul_geschwindigkeit,flucht,pkw,fg,rf,mofa,lkw,bus,zug,kat,art,typ,alkohol,1,1_urs,2,2_urs,3
20190311,1220,G,,Dieckstraße,,2,0,0,1,1,0,0,0,,0,1,0,0,0,0,0,0,3,Zusammenstoss mit anfahrendem/anhaltendem/ruhendem Fahrzeug,Sonstiger Unfall (SO),0,PKW,36,PKW,,
20190312,1600,G,,Tom-Rink-Straße,,2,0,0,0,1,0,0,0,,1,1,0,0,0,0,0,0,5,Zusammenstoss mit anfahrendem/anhaltendem/ruhendem Fahrzeug,Unfall durch ruhenden Verkehr (RV),0,Sonstige,49,PKW,,
20190315,600,G,,Nordstraße,,2,0,0,0,1,0,0,0,,1,1,0,0,0,0,0,0,5,Zusammenstoss mit anfahrendem/anhaltendem/ruhendem Fahrzeug,Sonstiger Unfall (SO),0,PKW,49,PKW,,
20190315,1130,G,,Harkortstraße,,1,0,0,0,1,0,0,0,,1,0,0,0,0,1,0,0,5,Unfall anderer Art,Sonstiger Unfall (SO),0,LKW,49,,,
20190315,1420,G,,Am Krug,,2,0,0,0,1,0,0,0,Z30,1,1,0,0,0,0,0,0,5,Zusammenstoss mit anfahrendem/anhaltendem/ruhendem Fahrzeug,Unfall durch ruhenden Verkehr (RV),0,PKW,49,PKW,,
20190316,1910,G,,Nottulner Landweg,,1,0,0,0,1,0,0,0,,0,1,0,0,0,0,0,0,6,Unfall anderer Art,Sonstiger Unfall (SO),1,PKW,49,,,
20190317,950,L,L793,Wolbecker Straße,Umgehungsstraße,2,0,0,1,1,1,0,0,,0,1,0,0,0,0,1,0,3,Zusammenstoss mit einbiegendem/kreuzendem Fahrzeug,Einbiegen/Kreuzen-Unfall (EK),0,PKW,49,Bus,,
20190317,1240,G,,Lippstädter Straße,,2,0,0,0,1,0,0,0,,1,1,0,0,0,0,0,0,5,Zusammenstoss mit anfahrendem/anhaltendem/ruhendem Fahrzeug,Sonstiger Unfall (SO),0,Sonstige,14,PKW,,
20190319,750,L,L586,Albersloher Weg,Theodor-Scheiwe-Straße,2,0,0,1,1,1,0,0,50,0,1,0,0,0,0,0,0,3,Zusammenstoss mit vorausfahrendem/wartendem Fahrzeug,Unfall im Längsverkehr (LV),0,PKW,14,PKW,,
20190318,1445,G,,Manfred-von-Richthofen-Straße,,2,0,0,0,1,0,0,0,,1,1,0,0,0,0,0,0,5,Zusammenstoss mit anfahrendem/anhaltendem/ruhendem Fahrzeug,Sonstiger Unfall (SO),0,Sonstige,49,PKW,,
20190319,1808,G,,Gereonstraße,,2,0,0,1,1,0,0,0,Z30,0,1,0,1,0,0,0,0,3,Zusammenstoss mit anfahrendem/anhaltendem/ruhendem Fahrzeug,Unfall durch ruhenden Verkehr (RV),0,PKW,45,Fahrrad,,
20190314,1610,G,,Hansestraße,,2,0,0,0,1,0,0,0,,1,1,0,0,0,0,0,0,5,Zusammenstoss mit entgegenkommendem Fahrzeug,Unfall im Längsverkehr (LV),0,PKW,24,PKW,,
20190307,1320,B,B54,Steinfurter Straße,,2,0,0,0,1,0,0,0,,0,1,0,0,0,0,0,0,5,Zusammenstoss mit vorausfahrendem/wartendem Fahrzeug,Unfall im Längsverkehr (LV),0,PKW,14,PKW,,
20190316,2235,L,L793,Hafenstraße,,2,0,0,0,1,0,0,0,,0,1,0,0,0,0,0,0,5,Zusammenstoss mit seitlich in gleicher Richtung fahrendem Fahrzeug,Unfall im Längsverkehr (LV),0,PKW,14,PKW,,
20190315,1341,K,K1,Rüschhausweg,,2,0,0,0,1,0,0,0,,0,1,0,0,0,0,0,0,5,Zusammenstoss mit anfahrendem/anhaltendem/ruhendem Fahrzeug,Sonstiger Unfall (SO),0,PKW,36,PKW,,
20190315,1645,G,,An der Alten Ziegelei,,2,0,0,0,1,0,0,0,,0,1,0,0,0,0,0,0,5,Zusammenstoss mit anfahrendem/anhaltendem/ruhendem Fahrzeug,Sonstiger Unfall (SO),0,PKW,14,PKW,,
20190307,1445,G,,Wulfertstraße,,2,0,0,0,1,0,0,0,,0,1,0,0,0,0,0,0,5,Zusammenstoss mit anfahrendem/anhaltendem/ruhendem Fahrzeug,Sonstiger Unfall (SO),0,PKW,36,PKW,,
