vu_ort,vu_hoehe,tag,datum,uhrzeit,kat,flucht,igo,ago,t,sv,lv,anzahl_beteiligte,fg,rf,helm,mofa,kkr,krad,pkw,lkw,kom,sonstige,1,kennz_01,2,kennz_02,alkohol,typ,1_urs,2_urs,3_urs,sonst_urs,urs_02,lichtverhaeltnisse,strassenzustand,01_alter_in_jahren,02_alter_in_jahren,bemerkungen,igvp
Grevener Straße,Am Max-Klemens-Kanal,di,13.11.2018,06:55,3,,,,,,1,2,,1,j,,,,1,,,,21,ms,72,,,223,,35,,,,2,1,66,31,,702000-064345-18/7
Kardinal-von-Galen-Ring,50,do,27.09.2018,10:05,5,X,,,,,,2,,,,,,,,,1,1,92,,33,waf,,651,,14,,,,,,F,,,702000-054421-18/7
Manfred-von-Richthofen-Straße,8,fr,09.11.2018,20:15,5,X,,,,,,2,,,,,,,1,,,1,92,,21,ms,,501,,14,,,,,,F,,,702000-063973-18/1
Am Stadtgraben,Weseler Straße,do,15.11.2018,11:14,5,,a,,,,,2,,,,,,,1,1,,,40,waf,25,coe,,651,,26,,,,,,46,32,,702000-064934-18/9
Meesenstiege,54,do,18.10.2018,14:40,5,X,,,,,,2,,,,,,,2,,,,21,ms,21,ms,,703,,14,,,,,,69,,,702000-059298-18/8
Holtmannsweg,20,fr,09.11.2018,08:32,3,,,,,,1,1,,1,n,,,,,,,,71,,,,,141,,49,55,,,,1,24,,,702000-063699-18/1
Piusallee,106,do,15.11.2018,07:40,3,,,,,,1,1,,1,n,,,,,,,,72,,,,,141,,49,,74,,,3,56,,,702000-064833-18/8
Schiffahrter Damm,Pötterhoek,fr,16.11.2018,04:50,3,,,,,,1,2,,1,n,,,,1,,,,21,ms,71,,,341,,34,,,,2/3,1,51,55,,702000-065066-18/5
Hafenstraße,Zebrastreifen vor Ludgeriplatz,do,15.11.2018,23:15,3,,,,,,1,2,,1,n,,,,1,,,,21,coe,71,,,203,,28,49,,,2/3,,42,42,,702000-065056-18/4
Westhoffstraße,Parkplatz Lidl,mi,14.11.2018,18:45,5,,a,,,,,2,,,,,,,2,,,,21,RO,21,ms,,703,,49,,,,2/3,,29,,,702000-064777-18/6
Kinderhauser Straße,94,di,06.11.2018,08:15,5,X,,,,,,2,,,,,,,1,,,1,92,,21,lh,,702,,14,,,,,,F,,,702000-063044-18/9
Dreizehnerstraße,Fresnostraße,sa,13.10.2018,17:00,3,X,,,,,1,2,,2,n/n,,,,,,,,71,,71,,,371,,21,,,,,,17,63,,702000-057768-18/9
Liboristraße,3,di,30.10.2018,07:25,5,X,,,,,,2,,,,,,,1,,,1,92,,21,ah,,799,,49,,,,,,F,,,702000-061685-18/8
Bismarckallee,37,mi,31.10.2018,21:15,5,X,,,,,,2,,,,,,,1,,,1,92,,21,so,,799,,49,,,,,,F,,,702000-061985-18/4
